"","SampleID","Height","MeanEst","Site","Sample"
"1","NB301",0,2006,"NB3","01"
"2","NB302",0,2006,"NB3","02"
"3","NB303",0,2000,"NB3","03"
"4","NB304",0,2014,"NB3","04"
"5","NB305",0,2010,"NB3","05"
"6","NB306",0,2011,"NB3","06"
"7","NB307",0,2000,"NB3","07"
"8","NB308",0,2014,"NB3","08"
"9","NB309",0,2006,"NB3","09"
"10","NB310",0,2006,"NB3","10"
"11","NB311",0,1997,"NB3","11"
"12","NB312",0,2003,"NB3","12"
