"","SampleID","Height","MeanEst","Site","Sample"
"1","NB20",0,2004,"NB2","0"
"2","NB22",0,2004,"NB2","2"
"3","NB23",0,2006,"NB2","3"
"4","NB24",0,2006,"NB2","4"
