"","NB1std","NB1res","samp.depth","Year"
"1",1.07573870758113,NA,2,"1997"
"2",0.609122746041028,0.68156427720238,2,"1998"
"3",0.375691335136526,0.587517459700707,2,"1999"
"4",0.467212904249499,0.779072593066978,5,"2000"
"5",0.707676961518417,0.861643674360806,5,"2001"
"6",0.518827164913796,0.590362136342423,5,"2002"
"7",0.722824170734508,0.822253235686211,7,"2003"
"8",0.842201082236748,0.914585725681007,9,"2004"
"9",0.86075173888175,0.934560188596126,10,"2005"
"10",0.843009803046055,0.859452780818184,15,"2006"
"11",1.14999779646078,1.19261742389263,17,"2007"
"12",0.852996360708948,0.864635289756422,17,"2008"
"13",0.652646936131121,0.77227281933937,17,"2009"
"14",1.05843415023248,1.06200024171507,18,"2010"
"15",1.38370358768678,1.33921755157495,18,"2011"
"16",1.42952417158968,1.22633201272237,18,"2012"
"17",0.762166102036044,0.721704438637222,18,"2013"
"18",1.55394630887239,1.47589397549566,18,"2014"
"19",0.95324360387676,0.86536086107774,18,"2015"
"20",0.922876820448648,0.906031054703479,18,"2016"
"21",0.533860832668705,0.566009115913124,14,"2017"
